id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
51279,184926,Hotel Mitte Alte Susswarenfabrik,Koblenzerstr. 20,Rheinbach,Germany,53359,Hotels,3,50.62519983,6.95665374,2,http://www.booking.com/hotel/de/mitte.en-gb.html,EUR
51280,18493,Hotel Locanda Dei Mai Intees,Via Monte Grappa 22,Azzate,Italy,21022,Hotels,4,45.78130702,8.79576802,2,http://www.booking.com/hotel/it/locanda-dei-mai-intees.en-gb.html,EUR
51281,184934,Resothel Group,2 Rue Simiane,Le Cannet,France,6110,Hotels,3,43.57058173,7.01669097,2,http://www.booking.com/hotel/fr/ibis-le-cannet.en-gb.html,EUR
51282,184946,deckerts Hotel am Katharinenstift,Sangerhauser Strasse 12/13,Lutherstadt Eisleben,Germany,6295,Hotels,3,51.52844206,11.54250562,2,http://www.booking.com/hotel/de/deckerts-am-katharinenstift.en-gb.html,EUR
51283,184948,Hotel Murrtal,Talstrasse 45,Backnang,Germany,71522,Hotels,3,48.94940511,9.43038136,2,http://www.booking.com/hotel/de/murrtal.en-gb.html,EUR
51284,1849483,Albergo Ester,"VIA GIOVANNI XXIII, 56",Piandimeleto,Italy,61026,Hotels,2,43.72335707,12.4100272,2,http://www.booking.com/hotel/it/albergo-ester.en-gb.html,EUR
51285,184949,Hotel Alpina nature-wellness,Oberdorf 211,Wenns,Austria,6473,Hotels,4,47.16821234,10.73112398,2,http://www.booking.com/hotel/at/alpina-nature-wellness.en-gb.html,EUR
51286,184958,Apaliving - Budgethotel,J.J. Balmer-Strasse 1,Basel,Switzerland,4053,Hotels,2,47.54098004,7.59529076,2,http://www.booking.com/hotel/ch/apaliving-budgethotel.en-gb.html,CHF
51287,1849630,Bond Hotel,41 Bond Street,Brighton and Hove,United Kingdom,,Hotels,4,50.823349,-0.140290007,5,https://www.agoda.com/en-gb/bond-hotel/hotel/brighton-and-hove-gb.html,GBP
51288,184969,NH Berlin Potsdamer Platz,Stresemannstr. 47,Berlin,Germany,10963,Hotels,4,52.50164596,13.38570088,2,http://www.booking.com/hotel/de/nh-express-potsdamer-platz.en-gb.html,EUR
51289,184969,Stars Tours Hotel,"137, avenue du grand sud - RN 10",Tours,France,,Hotels,2,47.33591441,0.705420971,5,https://www.agoda.com/en-gb/stars-tours-hotel/hotel/tours-fr.html,EUR
51290,18497,Grand Hotel & Riviera,"Lungomare Pistelli, 59",Lido di Camaiore,Italy,55041,Hotels,4,43.89355904,10.22553027,2,http://www.booking.com/hotel/it/grandhotel-riviera.en-gb.html,EUR
51291,18498,Hotel Touring,Via Goldoni 61,Livorno,Italy,57125,Hotels,3,43.54676637,10.31347856,2,http://www.booking.com/hotel/it/touring-livorno.en-gb.html,EUR
51292,1849890,Hotel Alpenhof Kristall,Am Marktplatz 218,Mayrhofen,Austria,6290,Hotels,3,47.1700802,11.8652742,2,http://www.booking.com/hotel/at/alpenhof-kristall.en-gb.html,EUR
51293,18499,Hotel First,"Via Dino Ciolli, 5",Calenzano,Italy,50041,Hotels,4,43.85262596,11.16552919,2,http://www.booking.com/hotel/it/first.en-gb.html,EUR
51294,185001,Hotel Inn Design Moutiers,"197, rue des Grillons",Moutiers,France,73600,Hotels,2,45.48023268,6.52952939,2,http://www.booking.com/hotel/fr/ibis-moutiers.en-gb.html,EUR
51295,1850026,ibis Styles Nowy Sacz,Pierwszej Brygady 2A,Nowy Sacz,Poland,,Hotels,3,49.609369,20.723932,2,http://www.booking.com/hotel/pl/ibis-styles-nowy-sacz.en-gb.html,PLN
51296,1850027,ibis Styles Siedlce,Jana Pawla II 10,Siedlce,Poland,,Hotels,3,52.1803821,22.2907622,2,http://www.booking.com/hotel/pl/ibis-styles-siedlce.en-gb.html,PLN
